Starting Impala Shell without Kerberos authentication
+------------------------------+----------------+----------------+----------+--------+-----------+-------+-----+------------+-----------+-------+---------+-------------------+--------------------+----------+-----------+-------------+--------------+---------+----------+---------+------------+
| rawmsg                       | mintime        | maxtime        | msgcount | icao24 | nicsuppla | hcr   | nic | survstatus | nicsupplb | odd   | baroalt | lat               | lon                | alt      | nicsupplc | groundspeed | gsresolution | heading | timeflag | surface | hour       |
+------------------------------+----------------+----------------+----------+--------+-----------+-------+-----+------------+-----------+-------+---------+-------------------+--------------------+----------+-----------+-------------+--------------+---------+----------+---------+------------+
| 8daa2e3658b997d89ead7d530d66 | 1618945212.058 | 1618945212.058 | 1        | aa2e36 | false     | 185.2 | 9   | 0          | false     | true  | true    | 36.37549966068591 | -104.6386394094913 | 10980.42 | false     | NULL        | NULL         | NULL    | false    | false   | 1618945200 |
| 8daa2e3658b997d914ad1fe5a0d9 | 1618945214.904 | 1618945214.904 | 1        | aa2e36 | false     | 185.2 | 9   | 0          | false     | true  | true    | 36.37824624271716 | -104.6441325735538 | 10980.42 | false     | NULL        | NULL         | NULL    | false    | false   | 1618945200 |
| 8daa2e3658b99040a2183b97b004 | 1618945215.568 | 1618945215.568 | 1        | aa2e36 | false     | 185.2 | 9   | 0          | false     | false | true    | 36.37870788574219 | -104.6450614929199 | 10980.42 | false     | NULL        | NULL         | NULL    | false    | false   | 1618945200 |
| 8daa2e3658b99040ba1828db5ed6 | 1618945216.068 | 1618945216.068 | 1        | aa2e36 | false     | 185.2 | 9   | 0          | false     | false | true    | 36.37925720214844 | -104.6461486816406 | 10980.42 | false     | NULL        | NULL         | NULL    | false    | false   | 1618945200 |
| 8daa2e3658b99040ca181cc887e3 | 1618945216.566 | 1618945216.566 | 1        | aa2e36 | false     | 185.2 | 9   | 0          | false     | false | true    | 36.37962341308594 | -104.6468353271484 | 10980.42 | false     | NULL        | NULL         | NULL    | false    | false   | 1618945200 |
| 8daa2e3658b99040e21808e3812c | 1618945217.062 | 1618945217.062 | 1        | aa2e36 | false     | 185.2 | 9   | 0          | false     | false | true    | 36.38017272949219 | -104.6479797363281 | 10980.42 | false     | NULL        | NULL         | NULL    | false    | false   | 1618945200 |
| 8daa2e3658b980413217c9e45559 | 1618945219.063 | 1618945219.063 | 1        | aa2e36 | false     | 185.2 | 9   | 0          | false     | false | true    | 36.38200378417969 | -104.6515846252441 | 10972.8  | false     | NULL        | NULL         | NULL    | false    | false   | 1618945200 |
| 8daa2e3658b987d9caac8f2304c0 | 1618945219.561 | 1618945219.561 | 1        | aa2e36 | false     | 185.2 | 9   | 0          | false     | true  | true    | 36.38248249635858 | -104.6525476333943 | 10972.8  | false     | NULL        | NULL         | NULL    | false    | false   | 1618945200 |
| 8daa2e3658b980415a17a94731fa | 1618945220.062 | 1618945220.062 | 1        | aa2e36 | false     | 185.2 | 9   | 0          | false     | false | true    | 36.38291931152344 | -104.6534156799316 | 10972.8  | false     | NULL        | NULL         | NULL    | false    | false   | 1618945200 |
| 8daa2e3658b987d9f0ac703432f3 | 1618945220.563 | 1618945220.563 | 1        | aa2e36 | false     | 185.2 | 9   | 0          | false     | true  | true    | 36.38336698887711 | -104.6543592087766 | 10972.8  | false     | NULL        | NULL         | NULL    | false    | false   | 1618945200 |
| 8daa2e3658b987da08ac5edfc639 | 1618945221.227 | 1618945221.227 | 1        | aa2e36 | false     | 185.2 | 9   | 0          | false     | true  | true    | 36.38392561573093 | -104.6554110912566 | 10972.8  | false     | NULL        | NULL         | NULL    | false    | false   | 1618945200 |
| 8daa2e3658b987da58ac1f740d12 | 1618945223.236 | 1618945223.236 | 1        | aa2e36 | false     | 185.2 | 9   | 0          | false     | true  | true    | 36.38578770524364 | -104.6590926799368 | 10972.8  | false     | NULL        | NULL         | NULL    | false    | false   | 1618945200 |
| 8daa2e3658b987da7eac00e2c82d | 1618945224.238 | 1618945224.238 | 1        | aa2e36 | false     | 185.2 | 9   | 0          | false     | true  | true    | 36.38667219776218 | -104.6609042553191 | 10972.8  | false     | NULL        | NULL         | NULL    | false    | false   | 1618945200 |
| 8daa2e3658b987da8eabf3ca60b1 | 1618945224.575 | 1618945224.575 | 1        | aa2e36 | false     | 185.2 | 9   | 0          | false     | true  | true    | 36.38704461566472 | -104.6616639482214 | 10972.8  | false     | NULL        | NULL         | NULL    | false    | false   | 1618945200 |
| 8daa2e3658b980429a16aaaa2f62 | 1618945228.078 | 1618945228.078 | 1        | aa2e36 | false     | 185.2 | 9   | 0          | false     | false | true    | 36.39024353027344 | -104.6680068969727 | 10972.8  | false     | NULL        | NULL         | NULL    | false    | false   | 1618945200 |
| 8daa2e3658b997db2cab7762dff2 | 1618945228.585 | 1618945228.585 | 1        | aa2e36 | false     | 185.2 | 9   | 0          | false     | true  | true    | 36.39072224245233 | -104.6689102497506 | 10980.42 | false     | NULL        | NULL         | NULL    | false    | false   | 1618945200 |
| 8daa2e3658b99042c2168aa25c78 | 1618945229.093 | 1618945229.093 | 1        | aa2e36 | false     | 185.2 | 9   | 0          | false     | false | true    | 36.39115905761719 | -104.6698379516602 | 10980.42 | false     | NULL        | NULL         | NULL    | false    | false   | 1618945200 |
| 8daa2e3658b997db54ab58e0dc69 | 1618945229.593 | 1618945229.593 | 1        | aa2e36 | false     | 185.2 | 9   | 0          | false     | true  | true    | 36.39165328720868 | -104.670721825133  | 10980.42 | false     | NULL        | NULL         | NULL    | false    | false   | 1618945200 |
| 8daa2e3658b997db6aab45c5e355 | 1618945230.256 | 1618945230.256 | 1        | aa2e36 | false     | 185.2 | 9   | 0          | false     | true  | true    | 36.39216536182468 | -104.6718321455286 | 10980.42 | false     | NULL        | NULL         | NULL    | false    | false   | 1618945200 |
| 8daa2e3658b997dc00aacfa5f82a | 1618945234.095 | 1618945234.095 | 1        | aa2e36 | false     | 185.2 | 9   | 0          | false     | true  | true    | 36.39565677966102 | -104.6787278195645 | 10980.42 | false     | NULL        | NULL         | NULL    | false    | false   | 1618945200 |
| 8daa2e3658b997dc18aabceb5428 | 1618945234.592 | 1618945234.592 | 1        | aa2e36 | false     | 185.2 | 9   | 0          | false     | true  | true    | 36.39621540651483 | -104.6798381399601 | 10980.42 | false     | NULL        | NULL         | NULL    | false    | false   | 1618945200 |
| 8daa2e3658b99043b215cb7500a9 | 1618945235.253 | 1618945235.253 | 1        | aa2e36 | false     | 185.2 | 9   | 0          | false     | false | true    | 36.39665222167969 | -104.6807670593262 | 10980.42 | false     | NULL        | NULL         | NULL    | false    | false   | 1618945200 |
| 8daa2e3658b997dc40aa9d2c7fdb | 1618945235.586 | 1618945235.586 | 1        | aa2e36 | false     | 185.2 | 9   | 0          | false     | true  | true    | 36.39714645127118 | -104.6816497153424 | 10980.42 | false     | NULL        | NULL         | NULL    | false    | false   | 1618945200 |
| 8daa2e3658b99043da15ac29b42e | 1618945236.09  | 1618945236.09  | 1        | aa2e36 | false     | 185.2 | 9   | 0          | false     | false | true    | 36.39756774902344 | -104.6825408935547 | 10980.42 | false     | NULL        | NULL         | NULL    | false    | false   | 1618945200 |
| 8daa2e3658b997dc66aa7ebf5676 | 1618945236.589 | 1618945236.589 | 1        | aa2e36 | false     | 185.2 | 9   | 0          | false     | true  | true    | 36.39803094378972 | -104.6834612907247 | 10980.42 | false     | NULL        | NULL         | NULL    | false    | false   | 1618945200 |
| 8daa2e3658b997dc76aa719db22e | 1618945237.091 | 1618945237.091 | 1        | aa2e36 | false     | 185.2 | 9   | 0          | false     | true  | true    | 36.39840336169227 | -104.684220983627  | 10980.42 | false     | NULL        | NULL         | NULL    | false    | false   | 1618945200 |
| 8daa2e3658b990443a155f258a9b | 1618945238.428 | 1618945238.428 | 1        | aa2e36 | false     | 185.2 | 9   | 0          | false     | false | true    | 36.39976501464844 | -104.6869468688965 | 10980.42 | false     | NULL        | NULL         | NULL    | false    | false   | 1618945200 |
| 8daa2e3658b990444a15533702aa | 1618945238.928 | 1618945238.928 | 1        | aa2e36 | false     | 185.2 | 9   | 0          | false     | false | true    | 36.40013122558594 | -104.6876335144043 | 10980.42 | false     | NULL        | NULL         | NULL    | false    | false   | 1618945200 |
